name,url,language,description
pandas,https://github.com/pandas-dev/pandas,Python,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
passport-tutorial,https://github.com/AntonioErdeljac/passport-tutorial,JavaScript,This is a repository for my Medium.com article
plotly.js,https://github.com/plotly/plotly.js,JavaScript,Open-source JavaScript charting library behind Plotly and Dash
polka,https://github.com/lukeed/polka,JavaScript,"A micro web server so fast, it'll make you dance! :dancers:"
pq,https://github.com/lib/pq,Go,Pure Go Postgres driver for database/sql
preact,https://github.com/preactjs/preact,JavaScript,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.
Projects,https://github.com/karan/Projects,,:page_with_curl: A list of practical projects that anyone can solve in any programming language.
proposal-decorators,https://github.com/tc39/proposal-decorators,HTML,Decorators for ES6 classes
proxy-lists,https://github.com/chill117/proxy-lists,JavaScript,Node.js module and CLI tool to get proxies from publicly available proxy lists.
proxy-verifier,https://github.com/chill117/proxy-verifier,JavaScript,Node module for checking proxies.
purescript,https://github.com/purescript/purescript,Haskell,A strongly-typed language that compiles to JavaScript
radium,https://github.com/FormidableLabs/radium,JavaScript,A toolchain for React component styling.
raphael,https://github.com/DmitryBaranovskiy/raphael,JavaScript,JavaScript Vector Library
rAppid.js,https://github.com/rappid/rAppid.js,JavaScript,the declarative Rich Internet Application Javascript MVC Framework
react-animations,https://github.com/FormidableLabs/react-animations,JavaScript,🎊 A collection of animations for inline style libraries
react-auth-client,https://github.com/funador/react-auth-client,JavaScript,Social authentication with React and Express
react-auth-server,https://github.com/funador/react-auth-server,JavaScript,Social authentication with React and Express
react-burger-menu,https://github.com/negomi/react-burger-menu,JavaScript,:hamburger: An off-canvas sidebar component with a collection of effects and styles using CSS transitions and SVG path animations
react-color,https://github.com/casesandberg/react-color,JavaScript,":art: Color Pickers from Sketch, Photoshop, Chrome, Github, Twitter & more"
react-dag,https://github.com/ajainarayanan/react-dag,TypeScript,This is a base implementation of wrapping jsplumb with react to be more usable in a react based environment
react-dag-app,https://github.com/ajainarayanan/react-dag-app,JavaScript,This is a sample app for demoing the use of react-dag component.
react-quickly,https://github.com/azat-co/react-quickly,JavaScript,"Source code for React Quickly [Manning, 2017]: Painless Web Apps with React, JSX, Redux, and GraphQL 📕"
react-vis,https://github.com/uber/react-vis,JavaScript,Data Visualization Components
redux-devtools-extension,https://github.com/zalmoxisus/redux-devtools-extension,JavaScript,Redux DevTools extension.
redux-form,https://github.com/erikras/redux-form,JavaScript,A Higher Order Component using react-redux to keep form state in a Redux store
requests,https://github.com/psf/requests,Python,Python HTTP Requests for Humans™ ✨🍰✨
